type,label,n,pearson_r,pearson_p,spearman_r,spearman_p,r_squared,reg_p_value,mean,median,pct_positive,max,min,mannwhitney_p,ttest_p
correlation,CloseStrength ~ RelativeVolume7,43,0.42530040574439937,0.0044681325781429,0.2640833552592203,0.08704268174491384,0.18088043512635082,0.004468132578142913,,,,,,,
correlation,DailyReturn ~ RelativeVolume7,43,0.5468376746473343,0.0001481415943732874,0.325620245130234,0.03310836201029208,0.2990314424137043,0.0001481415943732866,,,,,,,
correlation,SmartMoneyPressure -> NextDayReturn,47,-0.2338889128175409,0.1135766429934974,-0.24322604680623933,0.09947242136994724,0.0547040235389713,0.11357664299349728,,,,,,,
correlation,SmartMoneyPressure -> Next3DayReturn,45,-0.24529026178120597,0.10436024783283217,-0.23004346455187674,0.12845472399189056,0.060167312524692554,0.10436024783283207,,,,,,,
correlation,SmartMoneyPressure -> Next5DayReturn,43,-0.3949037783351053,0.008774371293445236,-0.34491658513703144,0.023504654220945973,0.15594899414334198,0.008774371293445217,,,,,,,
correlation,WeeklyCloseStrength -> NextWeekReturn,10,-0.47346107851111563,0.16691143472435868,-0.5471149893120582,0.1016780321289929,0.22416539286490875,0.16691143472435901,,,,,,,
hypothesis_test,StrongBullishLiquidityDay:NextDayReturn,2,,,,,,,-2.8401360544217713,-2.8401360544217713,0.0,-1.1904761904761827,-4.48979591836736,,
hypothesis_test,StrongBullishLiquidityDay:Next3DayReturn,2,,,,,,,-3.0385487528344743,-3.0385487528344743,0.0,-1.5873015873015885,-4.48979591836736,,
hypothesis_test,StrongBullishLiquidityDay:Next5DayReturn,2,,,,,,,-6.434240362811797,-6.434240362811797,0.0,-6.122448979591851,-6.7460317460317425,,
hypothesis_test,StrongBearishLiquidityDay:NextDayReturn,1,,,,,,,2.0576131687242727,2.0576131687242727,100.0,2.0576131687242727,2.0576131687242727,,
hypothesis_test,StrongBearishLiquidityDay:Next3DayReturn,1,,,,,,,-3.29218106995885,-3.29218106995885,0.0,-3.29218106995885,-3.29218106995885,,
hypothesis_test,StrongBearishLiquidityDay:Next5DayReturn,1,,,,,,,-2.469135802469138,-2.469135802469138,0.0,-2.469135802469138,-2.469135802469138,,
