model,horizon,split,n,pearson_r,pearson_p,spearman_r,spearman_p,r_squared,reg_p_value
Model A (RelativeVolume only),NextDayReturn,Training,106,0.15909484776009836,0.10332291557527042,0.1321215257038885,0.17699278832036075,0.025311170583808898,0.10332291557527051
Model A (RelativeVolume only),NextDayReturn,Testing,54,-0.19497518984108123,0.15770144014101967,-0.13418331461513244,0.33336728289821793,0.03801532465356564,0.15770144014102008
Model A (RelativeVolume only),Return3Days,Training,106,0.18796597721826558,0.05366658678608148,0.07341210937725517,0.4545372969386063,0.035331208591617584,0.05366658678608133
Model A (RelativeVolume only),Return3Days,Testing,52,-0.16737804111553825,0.23561096695963057,-0.07290951085673722,0.6074884626594417,0.028015408647674832,0.23561096695963094
Model A (RelativeVolume only),Return5Days,Training,106,0.3309587647934192,0.0005298010968575698,0.07492404816088138,0.4452739248124324,0.1095337039935858,0.0005298010968575577
Model A (RelativeVolume only),Return5Days,Testing,50,-0.5342406566205403,6.44227032135179e-05,-0.3587885435981033,0.010507471339686832,0.28541307918634595,6.442270321351787e-05
Model A (RelativeVolume only),Return7Days,Training,106,0.3263687394866848,0.0006394050980424845,0.03038058867146034,0.7572074408151224,0.10651655411412765,0.0006394050980424814
Model A (RelativeVolume only),Return7Days,Testing,48,-0.5571903294411331,3.89767256502309e-05,-0.45910652696627985,0.0010297887452287138,0.31046106322271844,3.897672565023081e-05
Model A (RelativeVolume only),Return10Days,Training,106,0.178350711074653,0.06737629480315446,0.0291588673585052,0.7666860459377326,0.03180897614083436,0.06737629480315432
Model A (RelativeVolume only),Return10Days,Testing,45,-0.6131388388194671,7.545557770312281e-06,-0.5610809714988383,6.08926988428306e-05,0.37593923566888443,7.545557770312258e-06
Model B (RelVol x CloseStrength),NextDayReturn,Training,106,0.02482232638593709,0.8006003376651124,-0.018042250035993322,0.8543517698898616,0.0006161478872099885,0.8006003376651101
Model B (RelVol x CloseStrength),NextDayReturn,Testing,54,-0.0918730431633534,0.5087863759012237,0.09283435136001325,0.5043429882388106,0.008440656060095397,0.5087863759012248
Model B (RelVol x CloseStrength),Return3Days,Training,106,0.05068693649144483,0.6058556391331643,0.008435161719920734,0.9316118097729658,0.0025691655308877595,0.6058556391331643
Model B (RelVol x CloseStrength),Return3Days,Testing,52,-0.09884868041195718,0.48568347466367334,0.04890585147256493,0.730621961497118,0.009771061619185246,0.48568347466367356
Model B (RelVol x CloseStrength),Return5Days,Training,106,0.08469672286871363,0.38801690692250546,0.07389624197267483,0.4515595159929411,0.007173534864699681,0.3880169069225068
Model B (RelVol x CloseStrength),Return5Days,Testing,50,-0.2675573427191936,0.060316686549565235,0.016302012636343254,0.9105344344402135,0.071586931642956,0.060316686549565346
Model B (RelVol x CloseStrength),Return7Days,Training,106,0.2265850004797459,0.019510047077671542,0.08892494030701077,0.3646816667935651,0.051340762442406485,0.019510047077671535
Model B (RelVol x CloseStrength),Return7Days,Testing,48,-0.370211520647494,0.009596575597161101,-0.12234148606414179,0.4074539842374518,0.13705657002012986,0.009596575597161107
Model B (RelVol x CloseStrength),Return10Days,Training,106,0.06279614337039448,0.5225031461439897,-0.009215754000122,0.9253006281210767,0.00394335562219514,0.5225031461439915
Model B (RelVol x CloseStrength),Return10Days,Testing,45,-0.4355127769998212,0.0027886069309389465,-0.21703742971287146,0.15211638415338544,0.18967137893009586,0.0027886069309389747
Model C (RelVol x CloseStrength x Trend),NextDayReturn,Training,76,-0.07845630845268425,0.5005209917594382,-0.1664090197325839,0.1507987260495569,0.006155392336022732,0.5005209917594383
Model C (RelVol x CloseStrength x Trend),NextDayReturn,Testing,54,-0.2558426254861853,0.06186386017801655,-0.19867392705558667,0.14981388806747142,0.06545544901566444,0.06186386017801653
Model C (RelVol x CloseStrength x Trend),Return3Days,Training,76,0.0010373388476286331,0.9929041604100501,-0.17000705700421825,0.14204023744533345,1.0760718847995e-06,0.9929041604100496
Model C (RelVol x CloseStrength x Trend),Return3Days,Testing,52,-0.19398251521384963,0.16821785196099082,0.07457821445028931,0.59926993253151,0.037629216208691404,0.16821785196099098
Model C (RelVol x CloseStrength x Trend),Return5Days,Training,76,-0.018664913703538177,0.872854206345588,-0.1015366528737743,0.38279152091799246,0.0003483790035605266,0.8728542063455863
Model C (RelVol x CloseStrength x Trend),Return5Days,Testing,50,-0.3612896872751744,0.009942948100460995,-0.04573219474089214,0.7524872641306701,0.13053023813139325,0.009942948100460973
Model C (RelVol x CloseStrength x Trend),Return7Days,Training,76,-0.0644948319041304,0.5799133137265344,-0.1607836168370443,0.1652910969218897,0.004159583342342033,0.5799133137265345
Model C (RelVol x CloseStrength x Trend),Return7Days,Testing,48,-0.43822124228884257,0.0018377711771360686,-0.17139759703923949,0.2440918945833242,0.19203785719317643,0.0018377711771360701
Model C (RelVol x CloseStrength x Trend),Return10Days,Training,76,-0.052382131156388796,0.6531450851018565,-0.17505673999327637,0.13040097271312132,0.002743887664485116,0.6531450851018581
Model C (RelVol x CloseStrength x Trend),Return10Days,Testing,45,-0.5557757682232669,7.389324190337387e-05,-0.3182732305142594,0.033112702930637374,0.3088867045441625,7.389324190337357e-05
Model D (RelVol x CloseStrength x Trend x Breakout),NextDayReturn,Training,76,-0.07669482920242826,0.5102169591648125,-0.16189261406503289,0.16235573449770946,0.005882096826389645,0.5102169591648132
Model D (RelVol x CloseStrength x Trend x Breakout),NextDayReturn,Testing,54,-0.2280568363887767,0.09719803702500779,-0.19867392705558667,0.14981388806747142,0.052009920623657245,0.09719803702500796
Model D (RelVol x CloseStrength x Trend x Breakout),Return3Days,Training,76,0.0017951618589306824,0.9877206444997452,-0.1670530288236285,0.14920212715789624,3.222606099759458e-06,0.9877206444997454
Model D (RelVol x CloseStrength x Trend x Breakout),Return3Days,Testing,52,-0.19251674445802958,0.1715186037644285,0.07457821445028931,0.59926993253151,0.03706269689671822,0.1715186037644285
Model D (RelVol x CloseStrength x Trend x Breakout),Return5Days,Training,76,-0.018435317757116484,0.8744054213813925,-0.09956798746192246,0.3921321643971313,0.0003398609408058551,0.8744054213813915
Model D (RelVol x CloseStrength x Trend x Breakout),Return5Days,Testing,50,-0.3671909517463335,0.008713629945113521,-0.04573219474089214,0.7524872641306701,0.13482919504437815,0.008713629945113516
Model D (RelVol x CloseStrength x Trend x Breakout),Return7Days,Training,76,-0.06397538157524528,0.5829751952247657,-0.1590200689608451,0.17003925561582747,0.0040928494476982265,0.5829751952247648
Model D (RelVol x CloseStrength x Trend x Breakout),Return7Days,Testing,48,-0.4398243608553345,0.0017601051916487794,-0.17139759703923949,0.2440918945833242,0.19344546840180343,0.00176010519164878
Model D (RelVol x CloseStrength x Trend x Breakout),Return10Days,Training,76,-0.052557334370466426,0.6520598389977869,-0.1753165086639943,0.129822441368946,0.002762273396129013,0.6520598389977874
Model D (RelVol x CloseStrength x Trend x Breakout),Return10Days,Testing,45,-0.541616425306529,0.00012191852822652487,-0.3182732305142594,0.033112702930637374,0.29334835216182276,0.0001219185282265253
