model,horizon,train_r,train_p,train_n,test_r,test_p,test_n,verdict
Model A (RelativeVolume only),NextDayReturn,0.15909484776009836,0.10332291557527042,106,-0.19497518984108123,0.15770144014101967,54,No Evidence (لا دلالة في أي منهما)
Model A (RelativeVolume only),Return10Days,0.178350711074653,0.06737629480315446,106,-0.6131388388194671,7.545557770312281e-06,45,Sign Reversal (الاتجاه ينعكس بين التدريب والاختبار — غير موثوق)
Model A (RelativeVolume only),Return3Days,0.18796597721826558,0.05366658678608148,106,-0.16737804111553825,0.23561096695963057,52,No Evidence (لا دلالة في أي منهما)
Model A (RelativeVolume only),Return5Days,0.3309587647934192,0.0005298010968575698,106,-0.5342406566205403,6.44227032135179e-05,50,Sign Reversal (الاتجاه ينعكس بين التدريب والاختبار — غير موثوق)
Model A (RelativeVolume only),Return7Days,0.3263687394866848,0.0006394050980424845,106,-0.5571903294411331,3.89767256502309e-05,48,Sign Reversal (الاتجاه ينعكس بين التدريب والاختبار — غير موثوق)
Model B (RelVol x CloseStrength),NextDayReturn,0.02482232638593709,0.8006003376651124,106,-0.0918730431633534,0.5087863759012237,54,No Evidence (لا دلالة في أي منهما)
Model B (RelVol x CloseStrength),Return10Days,0.06279614337039448,0.5225031461439897,106,-0.4355127769998212,0.0027886069309389465,45,Sign Reversal (الاتجاه ينعكس بين التدريب والاختبار — غير موثوق)
Model B (RelVol x CloseStrength),Return3Days,0.05068693649144483,0.6058556391331643,106,-0.09884868041195718,0.48568347466367334,52,No Evidence (لا دلالة في أي منهما)
Model B (RelVol x CloseStrength),Return5Days,0.08469672286871363,0.38801690692250546,106,-0.2675573427191936,0.060316686549565235,50,No Evidence (لا دلالة في أي منهما)
Model B (RelVol x CloseStrength),Return7Days,0.2265850004797459,0.019510047077671542,106,-0.370211520647494,0.009596575597161101,48,Sign Reversal (الاتجاه ينعكس بين التدريب والاختبار — غير موثوق)
Model C (RelVol x CloseStrength x Trend),NextDayReturn,-0.07845630845268425,0.5005209917594382,76,-0.2558426254861853,0.06186386017801655,54,No Evidence (لا دلالة في أي منهما)
Model C (RelVol x CloseStrength x Trend),Return10Days,-0.052382131156388796,0.6531450851018565,76,-0.5557757682232669,7.389324190337387e-05,45,Emerged in Test only (دلالة بالاختبار فقط دون تدريب — غير موثوق)
Model C (RelVol x CloseStrength x Trend),Return3Days,0.0010373388476286331,0.9929041604100501,76,-0.19398251521384963,0.16821785196099082,52,No Evidence (لا دلالة في أي منهما)
Model C (RelVol x CloseStrength x Trend),Return5Days,-0.018664913703538177,0.872854206345588,76,-0.3612896872751744,0.009942948100460995,50,Emerged in Test only (دلالة بالاختبار فقط دون تدريب — غير موثوق)
Model C (RelVol x CloseStrength x Trend),Return7Days,-0.0644948319041304,0.5799133137265344,76,-0.43822124228884257,0.0018377711771360686,48,Emerged in Test only (دلالة بالاختبار فقط دون تدريب — غير موثوق)
Model D (RelVol x CloseStrength x Trend x Breakout),NextDayReturn,-0.07669482920242826,0.5102169591648125,76,-0.2280568363887767,0.09719803702500779,54,No Evidence (لا دلالة في أي منهما)
Model D (RelVol x CloseStrength x Trend x Breakout),Return10Days,-0.052557334370466426,0.6520598389977869,76,-0.541616425306529,0.00012191852822652487,45,Emerged in Test only (دلالة بالاختبار فقط دون تدريب — غير موثوق)
Model D (RelVol x CloseStrength x Trend x Breakout),Return3Days,0.0017951618589306824,0.9877206444997452,76,-0.19251674445802958,0.1715186037644285,52,No Evidence (لا دلالة في أي منهما)
Model D (RelVol x CloseStrength x Trend x Breakout),Return5Days,-0.018435317757116484,0.8744054213813925,76,-0.3671909517463335,0.008713629945113521,50,Emerged in Test only (دلالة بالاختبار فقط دون تدريب — غير موثوق)
Model D (RelVol x CloseStrength x Trend x Breakout),Return7Days,-0.06397538157524528,0.5829751952247657,76,-0.4398243608553345,0.0017601051916487794,48,Emerged in Test only (دلالة بالاختبار فقط دون تدريب — غير موثوق)
