section,key,AvailableCycles,AvgRelVol,MedianRelVol,Prob_L1,Prob_L2,Prob_L3,value,p_value,power_rank,acf_significant
day_in_cycle,Day1,10.0,1.5996897283010212,0.8824917881115527,33.33333333333333,25.0,16.666666666666664,,,,
day_in_cycle,Day2,10.0,1.2959981524513353,0.780104604022823,25.0,16.666666666666664,8.333333333333332,,,,
day_in_cycle,Day3,10.0,0.9885834706843895,0.5275192000065241,16.666666666666664,16.666666666666664,16.666666666666664,,,,
day_in_cycle,Day4,10.0,1.2306730355841244,0.537641476462819,25.0,25.0,16.666666666666664,,,,
day_in_cycle,Day5,11.0,1.2581307291107868,1.3971582737328652,50.0,33.33333333333333,8.333333333333332,,,,
day_in_cycle,Day6,11.0,0.9225967306423924,0.7114040028913572,25.0,25.0,8.333333333333332,,,,
day_in_cycle,Day7,11.0,0.9932462196350659,0.7122582289150792,16.666666666666664,16.666666666666664,8.333333333333332,,,,
day_in_cycle,Day8,11.0,0.868171272000243,0.6809707341296561,16.666666666666664,16.666666666666664,16.666666666666664,,,,
day_in_cycle,Day9,11.0,0.8861015544881856,0.7167974195361496,16.666666666666664,8.333333333333332,8.333333333333332,,,,
day_in_cycle,Day10,11.0,0.9607265132463556,0.6387460397502639,16.666666666666664,16.666666666666664,16.666666666666664,,,,
day_in_cycle,Day11,11.0,1.3709134860404952,0.5640166422733635,16.666666666666664,16.666666666666664,16.666666666666664,,,,
day_in_cycle,Day12,11.0,1.128515959906568,0.476179288655415,25.0,25.0,16.666666666666664,,,,
day_in_cycle,Day13,11.0,1.2697311143435945,0.757839461304412,41.66666666666667,25.0,16.666666666666664,,,,
day_in_cycle,Day14,11.0,1.1602883733527596,0.6168531683554971,25.0,25.0,16.666666666666664,,,,
day_in_cycle,Day15,11.0,0.9436550590653031,0.9713447594045315,16.666666666666664,8.333333333333332,8.333333333333332,,,,
uniformity_test,chi2_L2,,,,,,,4.087373737373737,0.9949172718780409,,
highest_day_concentration,monte_carlo,,,,,,,2.0,0.99455,,
gap_analysis,n_events,,,,,,,36.0,,,
gap_analysis,n_gaps,,,,,,,35.0,,,
gap_analysis,mean_gap,,,,,,,4.2,,,
gap_analysis,median_gap,,,,,,,1.0,,,
gap_analysis,std_gap,,,,,,,7.2102867692011845,,,
gap_analysis,mode_gap,,,,,,,1.0,,,
gap_analysis,min_gap,,,,,,,1.0,,,
gap_analysis,max_gap,,,,,,,27.0,,,
periodicity,ljung_box_stat,,,,,,,197.93673321763356,8.694591131049483e-23,,
candidate_period,period_25,,,,,,,0.03212967433891779,,2.0,False
candidate_period,period_20,,,,,,,-0.14521347809871024,,3.0,False
candidate_period,period_30,,,,,,,-0.07276471646524604,,8.0,False
candidate_period,period_15,,,,,,,-0.1557973273372592,,33.0,True
candidate_period,period_10,,,,,,,-0.06840249795971022,,51.0,False
candidate_period,period_5,,,,,,,0.24832775923037365,,71.0,True
