week_start,week_end,sessions_in_week,WeeklyOpen,WeeklyHigh,WeeklyLow,WeeklyClose,WeeklyVolume,WeeklyReturn_pct,WeeklyVolumeRelative,WeeklyCloseStrength,NextWeekReturn_pct
2026-06-07,2026-06-11,2,2.38,2.38,2.34,2.35,2173891.0,,,0.25000000000000555,0.0
2026-06-14,2026-06-18,5,2.36,2.41,2.34,2.35,9303317.0,0.0,4.279569214831838,0.14285714285714557,0.0
2026-06-21,2026-06-25,5,2.35,2.39,2.33,2.35,10469732.0,0.0,1.8244388356471364,0.3333333333333333,2.9787234042553123
2026-06-28,2026-07-02,5,2.34,2.47,2.33,2.42,37208102.0,2.9787234042553123,5.086098836557625,0.6428571428571412,-7.024793388429751
2026-07-05,2026-07-09,5,2.47,2.55,2.24,2.25,32057647.0,-7.024793388429751,2.1677034393788444,0.032258064516128386,4.444444444444451
2026-07-12,2026-07-16,5,2.26,2.47,2.26,2.35,30619087.0,4.444444444444451,1.6784444870384208,0.42857142857142916,-0.8510638297872353
2026-07-19,2026-07-23,5,2.34,2.37,2.3,2.33,11633955.0,-0.8510638297872353,0.5729517560344848,0.4285714285714304,-0.8583690987124526
2026-07-26,2026-07-30,5,2.34,2.35,2.27,2.31,8243645.0,-0.8583690987124526,0.4323620345660116,0.5,7.3593073593073655
2026-08-02,2026-08-06,5,2.31,2.6,2.3,2.48,42224369.0,7.3593073593073655,2.383716318107279,0.6,-5.241935483870963
2026-08-09,2026-08-13,5,2.46,2.5,2.33,2.35,8602475.0,-5.241935483870963,0.42092480093851187,0.11764705882352956,-0.42553191489362874
2026-08-16,2026-08-17,2,2.41,2.41,2.32,2.34,2608601.0,-0.42553191489362874,0.13548624773042703,0.22222222222222168,
