day_in_cycle,n_available_cycles,n_rises,repeat_strength,average_liquidity_lift
1,9,3,33.33333333333333,99.23367677514894
2,9,4,44.44444444444444,195.8762497632837
3,9,5,55.55555555555556,192.87071802226055
4,9,3,33.33333333333333,78.41510171799928
5,10,1,10.0,49.58544213829035
6,10,2,20.0,21.953839642272456
7,10,5,50.0,123.39579599052266
8,10,4,40.0,90.77108131744109
9,10,2,20.0,88.04513624329178
10,10,3,30.0,38.23192554176871
11,10,3,30.0,207.76853271610602
12,10,1,10.0,67.87858527220314
13,10,3,30.0,117.74082459220648
14,10,2,20.0,65.03880979875808
15,10,3,30.0,92.78909779895673
