DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,11,0.46170717632555414,0.3200134037027729,1,7.6923076923076925,1,7.6923076923076925,1,7.6923076923076925
2,11,0.8555030408808361,0.3160165097598635,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385
3,11,1.3301401112957298,0.40812823208806304,5,38.46153846153847,4,30.76923076923077,3,23.076923076923077
4,11,0.9654688352276342,0.9001430133759569,2,15.384615384615385,2,15.384615384615385,1,7.6923076923076925
5,12,1.0970427426151994,0.41792978064791053,3,23.076923076923077,3,23.076923076923077,2,15.384615384615385
6,12,0.8654141583248555,0.31499467604772613,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385
7,12,1.2620154548376166,0.6405622719584605,4,30.76923076923077,4,30.76923076923077,3,23.076923076923077
8,12,1.4623607050734113,0.9546520028739353,5,38.46153846153847,4,30.76923076923077,3,23.076923076923077
9,11,0.39814722596815594,0.28044692737430166,1,8.333333333333332,1,8.333333333333332,0,0.0
10,11,0.8838656850707867,0.5007869509228788,3,25.0,2,16.666666666666664,1,8.333333333333332
11,11,0.40246307188094194,0.22666233804562758,1,8.333333333333332,0,0.0,0,0.0
12,11,0.8758404581381892,0.682008508357619,3,25.0,2,16.666666666666664,1,8.333333333333332
13,11,1.2724577165228277,1.0356687898089172,3,25.0,3,25.0,2,16.666666666666664
14,11,1.272834141107815,0.9789337677658558,3,25.0,3,25.0,3,25.0
15,11,0.8476647936859625,0.10677743358678307,3,25.0,2,16.666666666666664,2,16.666666666666664
