date,open,high,low,close,volume
2025-11-25,40.86,41.32,40.5,40.58,586768.0
2025-11-26,40.6,40.9,39.64,40.0,544978.0
2025-11-27,40.02,40.48,39.58,40.2,378747.0
2025-11-30,40.0,40.46,39.5,39.5,194412.0
2025-12-01,39.68,40.06,39.52,39.74,190390.0
2025-12-02,39.74,39.98,38.98,39.3,294213.0
2025-12-03,39.2,39.84,39.1,39.2,270807.0
2025-12-04,39.18,39.78,39.18,39.6,566498.0
2025-12-07,39.7,39.72,39.22,39.5,212262.0
2025-12-08,39.5,39.76,39.12,39.4,274096.0
2025-12-09,39.32,39.64,38.7,39.5,544333.0
2025-12-10,39.7,40.44,39.64,40.44,457674.0
2025-12-11,40.34,40.5,39.0,39.54,624800.0
2025-12-14,39.22,39.26,37.28,38.12,997259.0
2025-12-15,38.12,38.4,37.78,37.84,435933.0
2025-12-16,37.64,38.04,37.02,37.02,399372.0
2025-12-17,37.04,38.42,36.94,38.42,750826.0
2025-12-18,38.44,38.44,37.9,38.2,199182.0
2025-12-21,38.4,38.66,38.0,38.28,162223.0
2025-12-22,36.7,37.44,35.64,36.0,2052642.0
2025-12-23,36.02,36.6,35.78,35.96,865195.0
2025-12-24,35.9,36.34,35.6,35.96,766541.0
2025-12-25,35.96,36.78,35.74,36.64,206206.0
2025-12-28,36.64,36.64,35.72,35.82,245527.0
2025-12-29,35.82,36.52,35.66,36.52,298131.0
2025-12-30,36.02,36.36,35.2,35.56,430889.0
2025-12-31,35.64,36.3,35.64,36.3,211807.0
2026-01-01,36.22,36.96,36.22,36.52,132133.0
2026-01-04,36.56,36.6,35.82,36.1,281018.0
2026-01-05,36.1,36.52,35.46,35.88,657883.0
2026-01-06,35.9,36.04,35.04,35.54,618996.0
2026-01-07,36.5,36.72,35.4,35.98,406734.0
2026-01-08,35.9,36.72,35.62,36.08,356455.0
2026-01-11,36.2,37.26,36.2,37.0,267036.0
2026-01-12,36.86,37.24,36.8,36.94,279876.0
2026-01-13,37.24,37.3,36.72,37.3,270953.0
2026-01-14,37.4,37.5,36.5,36.56,404495.0
2026-01-15,36.7,36.74,35.64,35.64,299537.0
2026-01-18,35.7,36.12,35.7,35.98,225094.0
2026-01-19,35.78,36.28,35.66,36.24,610279.0
2026-01-20,36.24,36.42,36.0,36.16,241210.0
2026-01-21,36.14,36.62,36.1,36.36,263908.0
2026-01-22,36.48,37.22,36.36,37.22,289986.0
2026-01-25,37.48,37.74,37.3,37.56,137998.0
2026-01-26,37.7,37.7,37.3,37.3,146535.0
2026-01-27,37.4,37.94,37.24,37.64,294306.0
2026-01-28,37.86,38.3,37.76,37.9,352523.0
2026-01-29,37.9,37.98,36.68,36.98,393133.0
2026-02-01,36.98,37.0,35.44,36.12,384317.0
2026-02-02,35.92,36.36,35.38,36.36,320364.0
2026-02-03,36.32,36.6,35.98,36.14,172248.0
2026-02-04,36.02,36.3,35.86,36.26,222679.0
