symbol,name,market,status,last_updated
1010,Riyad Bank,TASI,active,2026-09-23
1020,Bank Aljazira,TASI,active,2026-09-23
1030,Saudi Investment Bank,TASI,active,2026-09-23
1050,Banque Saudi Fransi,TASI,active,2026-09-23
1060,Saudi Awwal Bank,TASI,active,2026-09-23
1080,Arab National Bank,TASI,active,2026-09-23
1111,Saudi Tadawul Group Holding Company,TASI,active,2026-09-23
1120,Al Rajhi Bank,TASI,active,2026-09-23
1140,Bank Albilad,TASI,active,2026-09-23
1150,Alinma Bank,TASI,active,2026-09-23
1180,Saudi National Bank,TASI,active,2026-09-23
1182,Amlak International for Real Estate Finance Company,TASI,active,2026-09-23
1183,SHL Finance Co.,TASI,active,2026-09-23
1201,Takween Advanced Industries Co.,TASI,active,2026-09-23
1202,Middle East Paper Co.,TASI,active,2026-09-23
1210,Basic Chemical Industries Co.,TASI,active,2026-09-23
1211,Saudi Arabian Mining Co.,TASI,active,2026-09-23
1212,Astra Industrial Group,TASI,active,2026-09-23
1213,Naseej International Trading Co.,TASI,active,2026-09-23
1214,Al Hassan Ghazi Ibrahim Shaker Co.,TASI,active,2026-09-23
1301,United Wire Factories Co.,TASI,active,2026-09-23
1302,Bawan Co.,TASI,active,2026-09-23
1303,Electrical Industries Co.,TASI,active,2026-09-23
1304,Al Yamamah Steel Industries Co.,TASI,active,2026-09-23
1320,Saudi Steel Pipe Co.,TASI,active,2026-09-23
1321,East Pipes Integrated Company for Industry,TASI,active,2026-09-23
1322,Al Masane Al Kobra Mining Co.,TASI,active,2026-09-23
1323,United Carton Industries Company,TASI,active,2026-09-23
1324,Saleh Abdulaziz Al Rashed & Sons Co.,TASI,active,2026-09-23
1810,Seera Holding Group,TASI,active,2026-09-23
1820,بان,TASI,active,2026-09-23
1830,Leejam Sports Co.,TASI,active,2026-09-23
1831,Maharah Human Resources Co.,TASI,active,2026-09-23
1832,Sadr Logistics Co.,TASI,active,2026-09-23
1833,Almawarid Manpower Company,TASI,active,2026-09-23
1834,Saudi Manpower Solutions Company,TASI,active,2026-09-23
1835,Tamkeen Human Resources Company,TASI,active,2026-09-23
2001,Methanol Chemicals Co.,TASI,active,2026-09-23
2010,Saudi Basic Industries Corp.,TASI,active,2026-09-23
2020,SABIC Agri-Nutrients Co.,TASI,active,2026-09-23
2030,Saudi Arabia Refineries Co.,TASI,active,2026-09-23
2040,Saudi Ceramic Co.,TASI,active,2026-09-23
2050,Savola Group,TASI,active,2026-09-23
2060,National Industrialization Co.,TASI,active,2026-09-23
2070,Saudi Pharmaceutical Industries & Medical Appliances Corp.,TASI,active,2026-09-23
2080,National Gas & Industrialization Co.,TASI,active,2026-09-23
2081,Alkhorayef Water & Power Technologies,TASI,active,2026-09-23
2082,ACWA Power,TASI,active,2026-09-23
2083,Power and Water Utility Company for Jubail and Yanbu (Marafiq),TASI,active,2026-09-23
2084,مياهنا,TASI,active,2026-09-23
2090,National Gypsum Co.,TASI,inactive,2026-09-22
2100,Wafrah for Industry & Development,TASI,active,2026-09-23
2110,Saudi Cable Co.,TASI,active,2026-09-23
2120,Saudi Advanced Industries Co.,TASI,active,2026-09-23
2130,Saudi Industrial Development Co.,TASI,active,2026-09-23
2140,AYYAN Investment Company,TASI,active,2026-09-23
2150,National Co. for Glass Industries,TASI,active,2026-09-23
2160,Saudi Arabian Amiantit Co.,TASI,active,2026-09-23
2170,Alujain Corporation,TASI,active,2026-09-23
2180,Filing & Packing Materials Manufacturing Co.,TASI,active,2026-09-23
2190,Sustained Infrastructure Holding Company,TASI,active,2026-09-23
2200,Arabian Pipes Co.,TASI,active,2026-09-23
2220,National Metal Manufacturing & Casting Co.,TASI,active,2026-09-23
2222,Saudi Arabian Oil Co.,TASI,active,2026-09-23
2223,Saudi Aramco Base Oil Company - Luberef,TASI,active,2026-09-23
2230,Saudi Chemical Co.,TASI,active,2026-09-23
2240,Advanced Building Industries Co.,TASI,active,2026-09-23
2250,Saudi Industrial Investment Group,TASI,active,2026-09-23
2270,Saudia Dairy & Foodstuff Co.,TASI,active,2026-09-23
2280,Almarai Company,TASI,active,2026-09-23
2281,Tanmiah Food Company,TASI,active,2026-09-23
2282,Naqi Water Company,TASI,active,2026-09-23
2283,First Milling Co.,TASI,active,2026-09-23
2284,Modern Mills for Food Products Co.,TASI,active,2026-09-23
2285,Arabian Mills for Food Products Company,TASI,active,2026-09-23
2286,Fourth Milling Company,TASI,active,2026-09-23
2287,Arabian Company for Agricultural and Industrial Investment,TASI,active,2026-09-23
2288,Nofoth Food Products Co,TASI,active,2026-09-23
2290,Yanbu National Petrochemical Co.,TASI,active,2026-09-23
